Jugo por pack;Tang;Naranja ;Jugos;https://arcordiezb2c.vteximg.com.br/arquivos/ids/181368/Jugo-En-Polvo-Naranja-Durazno-Tang-15-Gr-1-15195.jpg?v=638403465881630000;;;;3790;5690;12;;17/10/2024;;Vencido;68280;;
Jugo por pack;Clight;Naranja Dulce;Jugos;https://ardiaprod.vtexassets.com/arquivos/ids/322612/Jugo-En-Polvo-Clight-Naranja-Dulce-75-Gr-_1.jpg?v=638599545927670000;;;;3790;5690;12;;10/12/2024;;En regla;68280;;
Jugo por pack;Clight;Pomelo;Jugos;https://elnenearg.vtexassets.com/arquivos/ids/166087-800-auto?v=638104413709800000&width=800&height=auto&aspect=true;;;;3790;5690;12;;12/11/2024;;En regla;68280;;
Jugo por unidad;Tang;Naranja Mango;Jugos;https://carrefourar.vtexassets.com/arquivos/ids/435018/7622201735371_E01.jpg?v=638400547833970000;;;;190;290;12;;25/09/2024;;Vencido;3480;;
Jugo por unidad;Tang;Naranja ;Jugos;https://arcordiezb2c.vteximg.com.br/arquivos/ids/181368/Jugo-En-Polvo-Naranja-Durazno-Tang-15-Gr-1-15195.jpg?v=638403465881630000;;;;190;290;12;;17/10/2024;;Vencido;3480;;
Jugo por unidad;Clight;Naranja Dulce;Jugos;https://ardiaprod.vtexassets.com/arquivos/ids/322612/Jugo-En-Polvo-Clight-Naranja-Dulce-75-Gr-_1.jpg?v=638599545927670000;;;;190;290;12;;10/12/2024;;En regla;3480;;
Jugo por unidad;Clight;Pomelo;Jugos;https://elnenearg.vtexassets.com/arquivos/ids/166087-800-auto?v=638104413709800000&width=800&height=auto&aspect=true;;;;190;290;12;;12/11/2024;;En regla;3480;;
Leche Entera;Verónica;Tetrabrik 1l;Leche;https://hiperlibertad.vtexassets.com/arquivos/ids/167686/Leche-Entera-VERONICA-Larga-Vida-1-L-1-4720.jpg?v=637320610294900000;;;;1360;2040;12;;;;;;;
Jabón Neutro;Argentino;2 unid;Limpieza;https://jumboargentina.vtexassets.com/arquivos/ids/762004-800-600?v=638060457671000000&width=800&height=600&aspect=true;;;;2400;3600;12;;;;;;;
Jabón Neutro;Argentino;1 unid;Limpieza;https://soysuper.com.ar/uploads/1565873489_MQ==.jpg;;;;1200;1800;12;;;;;;;
Jabón Neutro;Villa Iris;;Limpieza;https://distriflash.com.ar/wp-content/uploads/2018/11/1782-Jabon-blanco-V-I.png;;;;1000;1500;12;;;;;;;
Detergente en barra;Villa Iris;;Limpieza;https://dcdn.mitiendanube.com/stores/001/108/127/products/villa-iris-datergente-en-barra1-8e6fd721804488516c16664448613744-640-0.png;;;;1200;1800;12;;;;;;;
Mermelada ;Marolio;Durazno;Mermeladas;https://demo01.catalogoqr.ar/wp-content/uploads/2022/05/1031-MAROLIO-MERMELADA-DAMASCO-454-GR.jpg;;;;1600;2400;12;;;;;;;
Mermelada ;Marolio;Ciruela;Mermeladas;https://www.distribuidoralaflia.com.ar/wp-content/uploads/2020/09/MERMELADA-MAROLIO-LIGHT-X-390GR.jpeg;;;;1600;2400;12;;;;;;;
Fideos;Lucchetti;Codito;Pastas;https://acdn.mitiendanube.com/stores/001/157/846/products/diseno-sin-titulo-2022-05-12t102428-9141-f88a149070c89a1fff16523619861162-1024-1024.png;;Normal;500g;1200;1800;12;17/08/2024;11/07/2025;;En regla;21600;;
Fideos;Lucchetti;Tirabuzón;Pastas;https://atencion24.ar/wp-content/uploads/2023/09/199a82aa-bd39-4853-8297-e0d3a701e277.jpg;;Normal;500g;1200;1800;12;17-ago;22/06/2025;;En regla;21600;;
Fideos;Favorita;Codito;Pastas;https://modomarketar.vteximg.com.br/arquivos/ids/171422/Fideos-Favorita-Codito-Hierro-X-500-G-1-41.jpg?v=638604561677670000;;Normal;500g;1100;1650;12;17/08/2024;04/12/2025;;En regla;19800;;
Fideos;Knorr;Spaghetti;Pastas;https://ardiaprod.vtexassets.com/arquivos/ids/321949/Fideos-Knorr-Spaghetti-500-Gr-_2.jpg?v=638599537728700000;;Normal;500g;1600;2400;12;17/08/2024;16/02/2025;;En regla;28800;;
Fideos;Providencia;Tagliatelle;Pastas;https://carrefourar.vtexassets.com/arquivos/ids/178866/7798141971084_02.jpg?v=637468580608230000;;;500g;980;1470;12;;;;;;;
Fideos ;Providencia ;Tallarines;Pastas;https://statics.dinoonline.com.ar/imagenes/full_600x600_ma/2540829_f.jpg;;;;980;1470;12;;;;;;;
Fideos ;Providencia ;Moños;Pastas;https://images.rappi.com.ar/products/1725905377274_8f300108-6e4b-40b1-b396-0aa8cfe58661_laprov.jpg;;;;980;1470;12;;;;;;;
Fideos ;Providencia ;Nido;Pastas;https://saboreslaprovidencia.com.ar/wp-content/uploads/2020/04/nidotagliatelle500.png;;;;980;1470;12;;;;;;;
Fideos ;Buen Gusto ;Tallarines;Pastas;;;;;1050;1580;12;;;;;;;
Polenta ;Presto Pronta;;Polenta;https://carrefourar.vtexassets.com/arquivos/ids/193158/7790580660000_01.jpg?v=637515950993770000;;;;920;1380;12;;;;;;;
Bizcochuelo;Emeth;Dulce de Leche;Premezclas;https://carrefourar.vtexassets.com/arquivos/ids/410314/7791113005466_02.jpg?v=638345480717300000;;Normal;450g;1600;2400;12;;01/10/2024;;Vencido;28800;;
Gelatina;Emeth;Ananá;Premezclas;https://www.almacenencasa.com.ar/500-thickbox_default/gelatina-anana-vitaminizado-6-70-grs-emeth.jpg;;Normal;70g;1040;1560;12;;nov-24;;Vencido;18720;;
Gelatina;Emeth;Cereza;Premezclas;https://ardiaprod.vtexassets.com/arquivos/ids/330352/Gelatina-Cereza-Vitaminizada-Emeth-70-GR-_1.jpg?v=638599648147970000;;Normal;70g;1040;1560;12;;dic-24;;En regla;18720;;
Gelatina;Emeth;Frambuesa;Premezclas;https://ardiaprod.vtexassets.com/arquivos/ids/330349/Gelatina-Frambuesa-Con-Vitamina-Z-Emeth-70-Gr-_1.jpg?v=638599648096800000;;Normal;70g;1040;1560;12;;feb-25;;En regla;18720;;
Gelatina;Emeth;Naranja;Premezclas;https://www.almacenencasa.com.ar/498-thickbox_default/gelatina-naranja-vitaminizado-6-70-grs-emeth.jpg;;Normal;70g;1040;1560;12;;ene-25;;En regla;18720;;
Sal;Dos Anclas;Fina;Sal;https://jumboargentina.vtexassets.com/arquivos/ids/188583/Sal-Fina-Dos-Anclas-X500gr-Sal-Fina-Dos-Anclas-Trilaminado-500-Gr-1-24926.jpg?v=636383496216030000;;Normal;500g;1400;2100;12;;;04/08/2023;Sin info;25200;;
Sal;Celusal;Fina;Sal;https://acdn.mitiendanube.com/stores/001/193/620/products/1631-b3f7f78d649af51a2f16074500575515-480-0.jpg;;Normal;500g;1200;1800;12;;15/07/2027;;En regla;21600;;
Sal;Celusal;Gruesa;Sal;https://arjosimarprod.vteximg.com.br/arquivos/ids/158813-1000-1000/Sal-Gruesa-Celusal-Paquete-1-kg-1-1768.jpg?v=637414118609900000;;Grande;1000g;1800;2700;12;;26/10/2027;;En regla;32400;;
Sal;Dos Anclas;Gruesa;Sal;https://carrefourar.vtexassets.com/arquivos/ids/545896/7792900613017_02.jpg?v=638582149188200000;;Grande;1000g;1700;2550;12;;12/01/2023;;Vencido;30600;;
Yerba;Cachamate;Naranja;Yerba;https://carrefourar.vtexassets.com/arquivos/ids/349845/7792280000285_01.jpg?v=638242443160200000;;;500g;1400;2100;12;;dic-24;;En regla;25200;;
Yerba;Amanda;Tradicional;Yerba;https://http2.mlstatic.com/D_NQ_NP_832425-MLA48945377120_012022-O.webp;;;250g;1000;1500;12;;04/05/2025;;En regla;18000;;
Yerba;Salus;Suave;Yerba;https://http2.mlstatic.com/D_NQ_NP_694299-MLU78227074971_082024-O.webp;;;500g;1600;2400;12;;27/03/2024;;Vencido;28800;;
Yerba;Nobleza Gaucha;Selección;Yerba;https://carrefourar.vtexassets.com/arquivos/ids/206379/7790070507273_01.jpg?v=637611768560100000;;;500g;1300;1950;12;;20/07/2023;;Vencido;23400;;
Yerba;Cruz de Malta;Tradicional, libre de gluten ;Yerba;https://http2.mlstatic.com/D_NQ_NP_837342-MLA71671213585_092023-O.webp;;;500g;1200;1800;12;;08/03/2025;;En regla;21600;;
Yerba ;Amanda;Tradicional ;Yerba;https://arcordiezb2c.vteximg.com.br/arquivos/ids/161895/Yerba-Mate-sin-TACC-Amanda-500-Gr-1-1634.jpg?v=637473582678970000;;;500g;1600;2400;12;;;;;;;
